species,number,locality,phallus,epiphallus1,epiphallus2,epiphallus,flagellum,decimalLatitude,decimalLongitude,fl_ep1,fl_ep2,fl_ep,fl_ph,fl_ep+ph,ep1_ep,fl_ph+ep1,shape,retractor,1000pixels=1cm
rihmondiana,QM55413,Lamington,1008,1009,1102,2111,789,-28.216667,153.2,0.781962339,0.715970962,0.373756514,0.782738095,0.252965694,0.477972525,0.252884615,,,
rihmondiana,QM55448,Lamington,951,935,1334,2269,851,-28.216667,153.183333,0.910160428,0.637931034,0.37505509,0.894847529,0.264285714,0.412075804,0.265605493,,,
rihmondiana,QM62693,Canondale,1635,847,2002,2849,1635,-26.733333,152.633333,1.930342385,0.816683317,0.573885574,1,0.364629795,0.297297297,0.44237013,,,
sp,C.271927,Coolah-Tops,453,659,346,1005,229,-31.82166,150.2052778,0.347496206,0.661849711,0.227860697,0.505518764,0.157064472,0.655721393,0.137620192,,,NA
sp,C.271928,Coolah-Tops,636,379,319,698,284,-31.823055,150.2063889,0.749340369,0.890282132,0.406876791,0.446540881,0.212893553,0.542979943,0.26369545,,,
sp,C.478667spec2,Mt-Kaputar,511,386,481,867,357,-30.29305556,150.1708333,0.924870466,0.742203742,0.411764706,0.698630137,0.259071118,0.445213379,0.284916201,,,
sp,C.582443,Main-Ranges,727,897,375,1272,442,-28.340833,152.338889,0.492753623,1.178666667,0.347484277,0.607977992,0.221110555,0.705188679,0.203780544,,,
sp,QM17029spec1,Gibraltar,1352,1032,1001,2033,567,-29.55,152.283333,0.549418605,0.566433566,0.27889818,0.419378698,0.167503693,0.507624201,0.184991843,,,
sp,QM17029spec2,Gibraltar,1772,1439,1512,2951,677,-29.55,152.283333,0.470465601,0.447751323,0.229413758,0.382054176,0.143341097,0.487631311,0.154214123,,,
sp,QM17029spec3,Gibraltar,1499,1207,1809,3016,768,-29.55,152.283333,0.636288318,0.424543947,0.25464191,0.512341561,0.170099668,0.400198939,0.181861236,,,
sp,QM17029spec4,Gibraltar,1111,1332,945,2277,590,-29.55,152.283333,0.442942943,0.624338624,0.259112868,0.531053105,0.174144038,0.584980237,0.163480188,,,
sp,QM17029spec5,Gibraltar,1399,1285,1127,2412,536,-29.55,152.283333,0.417120623,0.475598935,0.222222222,0.383130808,0.1406455,0.532752902,0.144982418,,,
sp,QM32876,Mt-Kaputar,439,395,469,864,328,-30.3,150.15,0.830379747,0.699360341,0.37962963,0.74715262,0.251726784,0.457175926,0.260524226,,,
sp,QM36956spec1,Wilson-River,864,794,497,1291,328,-31.209722,152.477778,0.413098237,0.659959759,0.254066615,0.37962963,0.152204176,0.615027111,0.157314149,,,
sp,QM36956spec2,Wilson-River,888,803,761,1564,518,-31.209722,152.477778,0.645080946,0.680683311,0.331202046,0.583333333,0.211256117,0.51342711,0.218842417,,,
