Image,Width(pixels),Height(pixels),Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
mitchellae_broken-head_c.114513_28.jpg,4257,3993,0.937984496,mitchellae,broken-head,C.114513,28,153.6,-28.71666667,
mitchellae_broken-head_c.114513_29.jpg,4499,4510,1.002444988,mitchellae,broken-head,C.114513,29,153.6,-28.71666667,
mitchellae_broken-head_c.114513_30.jpg,4895,4048,0.826966292,mitchellae,broken-head,C.114513,30,153.6,-28.71666667,
mitchellae_broken-head_c.114513_31.jpg,4272,4088,0.956928839,mitchellae,broken-head,C.114513,31,153.6,-28.71666667,
mitchellae_broken-head_c.114513_32.jpg,4290,3762,0.876923077,mitchellae,broken-head,C.114513,32,153.6,-28.71666667,
mitchellae_broken-head_c.114513_33.jpg,5088,4384,0.86163522,mitchellae,broken-head,C.114513,33,153.6,-28.71666667,
mitchellae_broken-head_c.114513_34.jpg,4120,4048,0.982524272,mitchellae,broken-head,C.114513,34,153.6,-28.71666667,
mitchellae_broken-head_c.114513_35.jpg,4448,3808,0.856115108,mitchellae,broken-head,C.114513,35,153.6,-28.71666667,
mitchellae_broken-head_c.114513_36.jpg,4576,4624,1.01048951,mitchellae,broken-head,C.114513,36,153.6,-28.71666667,
mitchellae_broken-head_c.114513_37.jpg,4592,4256,0.926829268,mitchellae,broken-head,C.114513,37,153.6,-28.71666667,
mitchellae_broken-head_c.114513_38.jpg,4686,4103,0.875586854,mitchellae,broken-head,C.114513,38,153.6,-28.71666667,
mitchellae_broken-head_c.114513_39.jpg,4213,4026,0.955613577,mitchellae,broken-head,C.114513,39,153.6,-28.71666667,
mitchellae_broken-head_c.114513_40.jpg,4510,4158,0.92195122,mitchellae,broken-head,C.114513,40,153.6,-28.71666667,
mitchellae_broken-head_c.114513_41.jpg,4352,4064,0.933823529,mitchellae,broken-head,C.114513,41,153.6,-28.71666667,
mitchellae_broken-head_c.114513_42.jpg,3883,4081,1.050991501,mitchellae,broken-head,C.114513,42,153.6,-28.71666667,
mitchellae_broken-head_c.114513_43.jpg,4829,4389,0.908883827,mitchellae,broken-head,C.114513,43,153.6,-28.71666667,
mitchellae_broken-head_c.114513_44.jpg,5328,5232,0.981981982,mitchellae,broken-head,C.114513,44,153.6,-28.71666667,
mitchellae_broken-head_c.114513_45.jpg,5008,4320,0.862619808,mitchellae,broken-head,C.114513,45,153.6,-28.71666667,
mitchellae_byron-bay_c.112236_01.jpg,5324,5148,0.966942149,mitchellae,byron-bay,C.112236,1,153.6,-28.71666667,
mitchellae_byron-bay_c.112236_02.jpg,5665,5929,1.046601942,mitchellae,byron-bay,C.112236,2,153.6,-28.71666667,
mitchellae_byron-bay_c.112237_01.jpg,5236,3652,0.697478992,mitchellae,byron-bay,C.112237,1,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_01.jpg,5335,4048,0.758762887,mitchellae,byron-bay,C.112238,1,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_02.jpg,4411,3916,0.887780549,mitchellae,byron-bay,C.112238,2,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_03.jpg,4960,3824,0.770967742,mitchellae,byron-bay,C.112238,3,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_04.jpg,4224,3784,0.895833333,mitchellae,byron-bay,C.112238,4,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_05.jpg,4092,4224,1.032258065,mitchellae,byron-bay,C.112238,5,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_06.jpg,4848,4608,0.95049505,mitchellae,byron-bay,C.112238,6,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_07.jpg,5776,4592,0.79501385,mitchellae,byron-bay,C.112238,7,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_08.jpg,4656,4512,0.969072165,mitchellae,byron-bay,C.112238,8,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_09.jpg,4796,4873,1.016055046,mitchellae,byron-bay,C.112238,9,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_10.jpg,5232,4544,0.868501529,mitchellae,byron-bay,C.112238,10,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_11.jpg,4818,4521,0.938356164,mitchellae,byron-bay,C.112238,11,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_12.jpg,4592,4112,0.895470383,mitchellae,byron-bay,C.112238,12,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_13.jpg,4675,3905,0.835294118,mitchellae,byron-bay,C.112238,13,153.6166667,-28.65,
mitchellae_byron-bay_c.112238_14.jpg,5440,4080,0.75,mitchellae,byron-bay,C.112238,14,153.6166667,-28.65,
mitchellae_byron-bay_c.112239_01.jpg,5203,5005,0.961945032,mitchellae,byron-bay,C.112239,1,153.6166667,-28.65,
mitchellae_byron-bay_c.112240_01.jpg,4848,4432,0.914191419,mitchellae,byron-bay,C.112240,1,153.6166667,-28.65,
mitchellae_byron-bay_c.112241_01.jpg,5060,5027,0.993478261,mitchellae,byron-bay,C.112241,1,153.6166667,-28.65,
mitchellae_byron-bay_c.112242_01.jpg,4736,4880,1.030405405,mitchellae,byron-bay,C.112242,1,153.6166667,-28.65,
mitchellae_byron-bay_c.112243_01.jpg,5552,5504,0.991354467,mitchellae,byron-bay,C.112243,1,153.6,-28.685,
mitchellae_byron-bay_c.112243_02.jpg,5071,4235,0.835140998,mitchellae,byron-bay,C.112243,2,153.6,-28.685,
mitchellae_byron-bay_c.112243_03.jpg,4646,4209,0.905940594,mitchellae,byron-bay,C.112243,3,153.6,-28.685,
mitchellae_byron-bay_c.112250_01.jpg,5687,5456,0.959381044,mitchellae,byron-bay,C.112250,1,153.5833333,-28.66666667,
mitchellae_byron-bay_c.441635_01.jpg,4180,4818,1.152631579,mitchellae,byron-bay,C.441635,1,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_02.jpg,4592,3952,0.860627178,mitchellae,byron-bay,C.441635,2,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_03.jpg,3938,3542,0.899441341,mitchellae,byron-bay,C.441635,3,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_04.jpg,4496,4424,0.983985765,mitchellae,byron-bay,C.441635,4,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_05.jpg,4232,4368,1.032136106,mitchellae,byron-bay,C.441635,5,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_06.jpg,4268,4169,0.976804124,mitchellae,byron-bay,C.441635,6,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_07.jpg,4560,4224,0.926315789,mitchellae,byron-bay,C.441635,7,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_08.jpg,4521,4510,0.99756691,mitchellae,byron-bay,C.441635,8,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_09.jpg,3624,3784,1.04415011,mitchellae,byron-bay,C.441635,9,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_10.jpg,4520,4320,0.955752212,mitchellae,byron-bay,C.441635,10,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_11.jpg,4026,4224,1.049180328,mitchellae,byron-bay,C.441635,11,153.5683333,-28.62388889,
mitchellae_byron-bay_c.441635_12.jpg,4367,4499,1.0302267,mitchellae,byron-bay,C.441635,12,153.5683333,-28.62388889,
mitchellae_byron-bay_c.584214_01.jpg,4696,3400,0.724020443,mitchellae,byron-bay,C.584214,1,153.6116667,-28.64916667,
mitchellae_byron-bay_c.584218.001_01.jpg,5616,4928,0.877492877,mitchellae,byron-bay,C.584218.001,1,153.6116667,-28.66222222,
mitchellae_byron-bay_c.584219.001_01.jpg,5082,4917,0.967532468,mitchellae,byron-bay,C.584219.001,1,153.6116667,-28.66222222,
mitchellae_cumbebin-swamp_c.320055_01.jpg,4532,4455,0.983009709,mitchellae,C.mbebin-swamp,C.320055,1,153.6141667,-28.65861111,
