Species,CodeNumber,Longtitude_convert,Latitude_convert,Museum,Museum
novaehollandiae,C.102267,151.7083333,-32.1,AM,
novaehollandiae,C.158007,153.0563889,-30.21972222,AM,
novaehollandiae,C.206424,151.68,-32.12861111,AM,
novaehollandiae,C.206426,151.7283333,-32.24722222,AM,
novaehollandiae,C.112199,152.5480556,-32.335,AM,
novaehollandiae,C.465644,152.5327778,-30.46861111,AM,
novaehollandiae,C.561022.001,152.3780556,-30.23694444,AM,
novaehollandiae,C.561022,152.3780556,-30.23694444,AM,
novaehollandiae,C.158011,152.795,-30.36333333,AM,
novaehollandiae,C.158014,151.5216667,-32.15305556,AM,
novaehollandiae,C.158015,151.4683333,-32.12916667,AM,
novaehollandiae,C.407777,152.3616667,-30.49777778,AM,
novaehollandiae,C.109931,152.2383333,-31.59805556,AM,
novaehollandiae,C.582493,151.6452778,-32.59888889,AM,
novaehollandiae,C.112184,151.7516667,-32.25666667,AM,
novaehollandiae,C.174783,151.7833333,-31.625,AM,
novaehollandiae,C.172710,152.745,-30.39333333,AM,
novaehollandiae,C.587059,152.4097222,-30.48861111,AM,
novaehollandiae,C.587060,151.5833333,-32.08333333,AM,
novaehollandiae,C.105165.001,152.0433333,-30.73972222,AM,
novaehollandiae,C.105158.001,152.7666667,-30.36666667,AM,
novaehollandiae,C.348951,152.3808333,-31.87083333,AM,
novaehollandiae,C.339756,152.985,-28.39333333,AM,
novaehollandiae,C.349440,152.3197222,-29.5,AM,
novaehollandiae,C.112185.001,152.4266667,-30.09305556,AM,
novaehollandiae,C.118236.001,152.2705556,-32.33361111,AM,
novaehollandiae,C.128263,153.1066667,-30.25305556,AM,
novaehollandiae,C.128442,152.3166667,-29.46666667,AM,
novaehollandiae,C.128344,152.7394444,-30.38916667,AM,
novaehollandiae,C.128406,152.6161111,-30.44777778,AM,
novaehollandiae,C.163131,152.3730556,-31.98972222,AM,
novaehollandiae,C.105157.001,152.7266667,-30.37666667,AM,
novaehollandiae,C.105163.001,152.3897222,-31.19666667,AM,
novaehollandiae,C.105164.001,152.4077778,-30.48972222,AM,
novaehollandiae,C.320785,152.4077778,-30.48972222,AM,
