species,number,locality,phallus,epiphallus1,epiphallus2,epiphallus,flagellum,ph_fl,ep1_fl,ep_fl,ep1+ph_fl,ep+ph_fl,ep1_ep2,decimalLatitude,decimalLongitude,shape,retractor,1000pixels=1cm
rihmondiana,QM19051spec3,Binna-Bvrra,825,1362,1213,2575,752,1.097074468,1.811170213,3.424202128,2.908244681,4.521276596,1.122835944,-28.216667,153.2,,,
rihmondiana,QM19051spec4,Binna-Bvrra,923,906,1498,2404,511,1.806262231,1.772994129,4.704500978,3.57925636,6.510763209,0.604806409,-28.216667,153.2,,,
rihmondiana,QM25801spec1,Lewer-Ballagjoi,1302,933,1560,2493,678,1.920353982,1.376106195,3.67699115,3.296460177,5.597345133,0.598076923,-28.233333,153.216667,,,
rihmondiana,QM25801spec2,Lewer-Ballagjoi,1923,926,1690,2616,862,2.230858469,1.07424594,3.034802784,3.305104408,5.265661253,0.547928994,-28.233333,153.216667,,,
rihmondiana,QM25801spec3,Lewer-Ballagjoi,1853,1022,1628,2650,1060,1.748113208,0.964150943,2.5,2.712264151,4.248113208,0.627764128,-28.233333,153.216667,,,
rihmondiana,QM4235,Glorious,1513,1056,2419,3475,1665,0.908708709,0.634234234,2.087087087,1.542942943,2.995795796,0.436544026,-27.3318739,152.7674619,,,
rihmondiana,QM55411,Lamington,951,1210,1154,2364,846,1.124113475,1.430260047,2.794326241,2.554373522,3.918439716,1.048526863,-28.25,153.216667,,,
rihmondiana,QM55413,Lamington,1008,1009,1102,2111,789,1.27756654,1.278833967,2.675538657,2.556400507,3.953105196,0.915607985,-28.216667,153.2,,,
rihmondiana,QM55448,Lamington,951,935,1334,2269,851,1.117508813,1.098707403,2.666274971,2.216216216,3.783783784,0.70089955,-28.216667,153.183333,,,
rihmondiana,QM62693,Canondale,1635,847,2002,2849,1635,1,0.518042813,1.742507645,1.518042813,2.742507645,0.423076923,-26.733333,152.633333,,,
sp2,C.271927,Coolah-Tops,453,659,346,1005,229,1.978165939,2.877729258,4.388646288,4.855895197,6.366812227,1.904624277,-31.82166,150.2052778,,,NA
sp2,C.271928,Coolah-Tops,636,379,319,698,284,2.23943662,1.334507042,2.457746479,3.573943662,4.697183099,1.188087774,-31.823055,150.2063889,,,
sp1,C.478667spec2,Mt-Kaputar,511,386,481,867,357,1.431372549,1.081232493,2.428571429,2.512605042,3.859943978,0.802494802,-30.29305556,150.1708333,,,
novaehollandiae,C.582443,Main-Ranges,727,897,375,1272,442,1.64479638,2.029411765,2.877828054,3.674208145,4.522624434,2.392,-28.340833,152.338889,,,
novaehollandiae,QM17029spec1,Gibraltar,1352,1032,1001,2033,567,2.384479718,1.82010582,3.585537919,4.204585538,5.970017637,1.030969031,-29.55,152.283333,,,
novaehollandiae,QM17029spec2,Gibraltar,1772,1439,1512,2951,677,2.617429838,2.125553914,4.358936484,4.742983752,6.976366322,0.951719577,-29.55,152.283333,,,
novaehollandiae,QM17029spec3,Gibraltar,1499,1207,1809,3016,768,1.951822917,1.571614583,3.927083333,3.5234375,5.87890625,0.667219458,-29.55,152.283333,,,
novaehollandiae,QM17029spec4,Gibraltar,1111,1332,945,2277,590,1.883050847,2.257627119,3.859322034,4.140677966,5.742372881,1.40952381,-29.55,152.283333,,,
novaehollandiae,QM17029spec5,Gibraltar,1399,1285,1127,2412,536,2.610074627,2.39738806,4.5,5.007462687,7.110074627,1.140195209,-29.55,152.283333,,,
sp1,QM32876,Mt-Kaputar,439,395,469,864,328,1.338414634,1.204268293,2.634146341,2.542682927,3.972560976,0.842217484,-30.3,150.15,,,
novaehollandiae,QM36956spec1,Wilson-River,864,794,497,1291,328,2.634146341,2.420731707,3.93597561,5.054878049,6.570121951,1.597585513,-31.209722,152.477778,,,
novaehollandiae,QM36956spec2,Wilson-River,888,803,761,1564,518,1.714285714,1.55019305,3.019305019,3.264478764,4.733590734,1.055190539,-31.209722,152.477778,,,
