Image,Width(pixels),Height(pixels),Width,Height,Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
novaehollandiae_dungog_c.112172_01.jpg,4272,2804,4.272,2.804,0.656367041,novaehollandiae,dungog,C.112172,1,151.7516667,-32.25666667,
novaehollandiae_dungog_c.112184_01.jpg,4147,3042,4.147,3.042,0.73354232,novaehollandiae,dungog,C.112184,1,151.7516667,-32.25666667,
novaehollandiae_dungog_c.158010_01.jpg,4378,3806,4.378,3.806,0.869346734,novaehollandiae,dungog,C.158010,1,151.4266667,-32.11166667,
novaehollandiae_dungog_c.158014_01.jpg,4160,3752,4.16,3.752,0.901923077,novaehollandiae,dungog,C.158014,1,151.5216667,-32.15305556,
novaehollandiae_dungog_c.158015_01.jpg,5368,3993,5.368,3.993,0.743852459,novaehollandiae,dungog,C.158015,1,151.4683333,-32.12916667,
novaehollandiae_dungog_c.348949_01.jpg,4191,3597,4.191,3.597,0.858267717,novaehollandiae,dungog,C.348949,1,151.4697222,-32.12833333,
novaehollandiae_forster_c.104898_01.jpg,4192,4000,4.192,4,0.954198473,novaehollandiae,forster,C.104898,1,152.45,-32.32666667,
novaehollandiae_forster_c.488779_01.jpg,4829,3949,4.829,3.949,0.817767654,novaehollandiae,forster,C.488779,1,152.4466667,-32.34277778,
novaehollandiae_gibraltar_c.131450_01.jpg,5654,4136,5.654,4.136,0.73151751,novaehollandiae,gibraltar,C.131450,1,152.3333333,-29.53333333,
novaehollandiae_gibraltar_c.589238_01.jpg,4552,3880,4.552,3.88,0.852372583,novaehollandiae,gibraltar,C.589238,1,152.2311111,-29.55305556,
novaehollandiae_gloucester_c.112182_01.jpg,6026,4255,6.026,4.255,0.70610687,novaehollandiae,gloucester,C.112182,1,151.5916667,-32.09166667,
novaehollandiae_kempsey_c.081396_01.jpg,4279,2915,4.279,2.915,0.681233933,novaehollandiae,kempsey,C.081396,1,152.6886111,-31.095,
novaehollandiae_kempsey_c.102866_01.jpg,5192,3564,5.192,3.564,0.686440678,novaehollandiae,kempsey,C.102866,1,152.4083333,-31.16666667,
novaehollandiae_kempsey_c.102866_02.jpg,4944,4128,4.944,4.128,0.834951456,novaehollandiae,kempsey,C.102866,2,152.4083333,-31.16666667,
novaehollandiae_kempsey_c.121699_01.jpg,3399,3075,3.399,3.075,0.904677846,novaehollandiae,kempsey,C.121699,1,152.3333333,-31.01666667,
novaehollandiae_kempsey_c.158006_01.jpg,3690,3108,3.69,3.108,0.842276423,novaehollandiae,kempsey,C.158006,1,152.9783333,-30.82138889,
novaehollandiae_kempsey_c.158009_01.jpg,3992,3504,3.992,3.504,0.877755511,novaehollandiae,kempsey,C.158009,1,152.9783333,-30.82138889,
novaehollandiae_kempsey_c.158023_01.jpg,3768,2944,3.768,2.944,0.781316348,novaehollandiae,kempsey,C.158023,1,152.7783333,-30.88138889,
novaehollandiae_lower-bellinger_c.033230_01.jpg,4345,3740,4.345,3.74,0.860759494,novaehollandiae,lower-bellinger,C.033230,1,152.5,-30.43638889,
novaehollandiae_lower-bellinger_c.033230_02.jpg,4032,3872,4.032,3.872,0.96031746,novaehollandiae,lower-bellinger,C.033230,2,152.5,-30.43638889,
novaehollandiae_lower-bellinger_c.320635_01.jpg,5088,4176,5.088,4.176,0.820754717,novaehollandiae,lower-bellinger,C.320635,1,152.5,-30.43638889,
novaehollandiae_macksville_c.158021_01.jpg,4774,4213,4.774,4.213,0.882488479,novaehollandiae,macksville,C.158021,1,152.9491667,-30.78666667,
novaehollandiae_manning-river_c.112181_01.jpg,5200,3776,5.2,3.776,0.726153846,novaehollandiae,manning-river,C.112181,1,NA,NA,
novaehollandiae_manning-river_c.112181_02.jpg,4075,3635,4.075,3.635,0.89202454,novaehollandiae,manning-river,C.112181,2,NA,NA,
