id,SV1,SV2,SV3,SV4,SV5,SV6,SV7,SV8,SV9,SV10
novaehollandiae_QM33097_Bruxner_01,8.51831812678387E-003,-6.56265814688114E-003,-7.15364157049345E-003,5.14206265520005E-003,9.43358977621020E-003,-1.99517228687800E-003,-2.20983602372774E-003,-2.61171655937741E-003,4.62367942802491E-003,-2.10386999979933E-004
novaehollandiae_QM36992_Daisy-Plains_01,-1.29525597177409E-002,-7.74749790707705E-003,1.62557566527156E-002,1.18642463982465E-002,-2.24297062459127E-002,-2.60752865646481E-002,-4.25240341054952E-003,4.31889944120838E-003,1.32133873016475E-002,-3.24921283374502E-003
novaehollandiae_QM56374_Dungog_01,5.23604803696405E-002,6.32361664099977E-003,4.95727842675166E-002,3.64840053538146E-002,-4.66582705351457E-003,-1.03152644335427E-002,8.63628921151321E-004,9.14608463978051E-003,2.57002848329710E-003,-1.81968285642858E-003
novaehollandiae_QM66656_Warwick_01,-3.79309615367286E-003,-6.82677221934776E-003,-2.32682987344227E-003,2.45550375446012E-002,1.12419952719581E-002,-4.68717649127955E-003,-1.00266446638106E-002,1.77040054782274E-004,1.19343326091748E-003,-3.29459543857701E-004
richmondiana_C.348955_Terania_01,-2.93123411126382E-002,-4.21589020670285E-002,-3.55763413784699E-002,3.98714038251648E-002,4.86695625424741E-003,-1.74608922025381E-002,-5.98188330185979E-003,7.38556528837498E-003,-2.06016186263695E-004,7.13556757673040E-003
richmondiana_QM10496_Mt-Warning_01,5.73971968070511E-002,-7.17434585690888E-002,2.27212641344562E-002,2.85348128810087E-002,-1.70846705569317E-002,-2.45265260517690E-003,-1.20665430066667E-005,-4.98074410070969E-003,-1.62446507749697E-003,-7.16664521241275E-003
richmondiana_QM19051_Lamington_01,-1.32043537190708E-002,1.74696450578745E-002,7.43383550923870E-005,4.48927427287532E-002,-3.34306943014244E-002,-1.18842818546127E-002,-7.43573730351459E-003,-1.18212306426796E-002,-4.38224448780304E-004,-2.25384883893239E-003
richmondiana_QM19051_Lamington_02,4.42898526445773E-003,-3.87558040130375E-002,-3.23174458228167E-002,3.07572448192591E-002,-4.74002233822272E-003,7.85196876064895E-004,1.30173831711800E-003,-1.78983096319041E-003,-3.10232426643550E-003,2.27040711975732E-003
richmondiana_QM19051_Lamington_03,-4.39242652445044E-002,-2.89449322377417E-003,-4.42927759516089E-003,4.85586743319664E-002,-2.79831723294145E-002,-3.70614582113819E-003,-8.83527196509001E-003,-7.60064287119363E-003,5.01770071415548E-005,-3.96171846832057E-004
richmondiana_QM19051_Lamington_04,-1.02461384192123E-001,8.20867083471806E-003,-4.16274001624249E-002,2.09963519066251E-002,-1.67298206555552E-002,1.77041297217969E-004,-1.33914702824803E-002,-9.69078500216807E-003,-2.13935176618566E-003,1.77331854543729E-003
richmondiana_QM25801_Lewer_Ballanjoi_01,-2.40114675680402E-002,-4.53721826619235E-002,-3.11270467442456E-002,3.20524361398030E-002,-4.82814008807045E-003,-1.56586707616265E-003,1.62484794475647E-003,-2.48551582235607E-003,4.76434409707525E-003,2.18696785352818E-003
richmondiana_QM25801_Lewer_Ballanjoi_02,5.68124036462305E-004,-6.01145187793949E-002,-9.02295949986663E-004,2.86336418943368E-002,-2.41618962978148E-002,1.67019564949947E-002,7.77513396357804E-003,-5.95658936200205E-003,9.17236395746391E-003,-8.34562911163784E-003
richmondiana_QM4235_Mt-Glorius_01,8.84978834777914E-002,-3.55634024003417E-002,7.62704157323630E-003,3.69975933063678E-002,1.37141702552975E-002,1.56008923167060E-003,-6.64629216205316E-003,-1.50205145336820E-002,-4.13589646172767E-003,9.48722968269623E-003
richmondiana_QM55411_Lamington_01,-4.00564548457535E-002,-2.23219391794896E-002,-6.84923199038850E-003,3.88898264430908E-002,-1.60046403279448E-002,4.92772469439667E-003,3.48937820175130E-003,-5.02796333786594E-003,-3.21265918597605E-003,4.59184325616617E-003
richmondiana_QM55413_Lamington_01,-1.26571561071447E-001,-9.13756999495251E-003,-1.44250334614959E-002,5.66114272166323E-002,-5.15802194899677E-004,-1.03677227283848E-002,1.02951461535293E-003,9.07439609463798E-005,-3.69962217521223E-003,-3.26208493227643E-003
richmondiana_QM55448_Lamington_01,-3.63855304969197E-002,-2.18345870331794E-002,1.57761087105618E-002,4.07744230707789E-002,-9.27710141326948E-003,1.20243554847801E-003,-6.36858020518483E-003,1.36319701983821E-003,8.64693289516342E-003,-5.72092960026702E-003
richmondiana_QM62693_Canondale_01,1.28387672607404E-001,-5.37455342467331E-002,-1.74649776644421E-002,9.22872336136155E-004,-5.51343693816967E-003,-2.19771191667725E-002,2.72580312257040E-003,-1.14771117321682E-002,-1.62316549376111E-003,-2.42121687950263E-003
sp2_C.271927_Coolah-Tops_01,2.01545707361307E-002,8.46518377197175E-002,-6.33500246574786E-002,4.69994208348264E-002,-3.42143465723218E-003,-7.20078704620351E-003,-2.03634641025535E-003,8.56281504167062E-003,-1.22365756539593E-002,-3.38556392778143E-003
sp2_C.271928_Coolah-Tops_01,3.24193107795033E-002,7.98281290633424E-002,-3.55036224168362E-002,2.48619088439857E-002,2.23874014298428E-003,-1.23603023401791E-002,-1.30958878924919E-002,6.27400460976190E-003,2.92541250698950E-003,-3.46673351590157E-004
sp1_C.478667_Mt-Kaputar_02,1.29628238602120E-001,2.68396357917295E-002,3.21312379999562E-002,4.58871064335548E-003,1.26799601260294E-002,3.63367936073768E-003,1.52368340350416E-002,1.40379655843973E-002,4.64960354769670E-004,4.95130894769180E-003
novaehollandiae_C.582443_Main-Range_01,5.92597032157778E-002,2.04952908033709E-002,-6.46173895671518E-003,2.04801720361857E-002,1.12180427466582E-002,8.25150246414721E-003,5.05180818611006E-004,2.01119804425487E-002,-6.25362936890132E-003,5.82629861088002E-003
novaehollandiae_QM17029_Gibraltar_01,-2.34556077279380E-002,2.87764017437941E-002,-1.57230083730533E-002,9.49408283904233E-003,-1.96129030835690E-002,9.69378429161676E-004,-2.87841579778727E-003,4.54517469771305E-003,6.99895863329827E-003,-2.32273063235247E-003
novaehollandiae_QM17029_Gibraltar_02,-1.06013690658900E-001,8.02990752534646E-002,-5.02101522444293E-003,-1.65441494711048E-002,-2.18457056279782E-002,1.32373821974498E-003,1.03737233577563E-003,1.00181366175650E-002,2.98469149612989E-003,-1.16961244738136E-003
